,OMRÅDE,TID,SUNDHEDSUDGIFTER
364,Horsens,2011,3245
365,Kolding,2011,3208
366,Vejle,2011,2939
367,Herning,2011,2675
368,Holstebro,2011,3324
369,Lemvig,2011,2990
370,Struer,2011,3153
371,Syddjurs,2011,3465
372,Norddjurs,2011,3538
373,Favrskov,2011,2862
374,Odder,2011,2805
375,Randers,2011,2948
376,Silkeborg,2011,3135
377,Samsø,2011,3788
378,Skanderborg,2011,3152
379,Aarhus,2011,2701
380,Ikast-Brande,2011,2804
381,Ringkøbing-Skjern,2011,2925
382,Hedensted,2011,2972
383,Morsø,2011,3091
384,Skive,2011,3061
385,Thisted,2011,3161
386,Viborg,2011,3088
387,Brønderslev,2011,3084
388,Frederikshavn,2011,3269
389,Vesthimmerlands,2011,3247
390,Læsø,2011,2767
391,Rebild,2011,2911
392,Mariagerfjord,2011,3118
393,Jammerbugt,2011,3079
394,Aalborg,2011,2965
395,Hjørring,2011,3495
396,Hele landet,2012,4599
397,København,2012,4589
398,Frederiksberg,2012,4655
399,Ballerup,2012,5487
400,Brøndby,2012,5488
401,Dragør,2012,4398
402,Gentofte,2012,4820
403,Gladsaxe,2012,5097
404,Glostrup,2012,5497
405,Herlev,2012,5585
406,Albertslund,2012,4960
407,Hvidovre,2012,5072
408,Høje-Taastrup,2012,4842
409,Lyngby-Taarbæk,2012,5444
410,Rødovre,2012,5134
411,Ishøj,2012,5134
412,Tårnby,2012,4937
413,Vallensbæk,2012,4554
414,Furesø,2012,4342
415,Allerød,2012,4358
416,Fredensborg,2012,4566
417,Helsingør,2012,5084
418,Hillerød,2012,4720
419,Hørsholm,2012,4584
420,Rudersdal,2012,4825
421,Egedal,2012,4350
422,Frederikssund,2012,4839
423,Greve,2012,4232
424,Køge,2012,4427
425,Halsnæs,2012,5416
426,Roskilde,2012,4255
427,Solrød,2012,4095
428,Gribskov,2012,4820
429,Odsherred,2012,5059
430,Holbæk,2012,4265
431,Faxe,2012,4465
432,Kalundborg,2012,4522
433,Ringsted,2012,4543
434,Slagelse,2012,4763
435,Stevns,2012,4557
436,Sorø,2012,4447
437,Lejre,2012,4390
438,Lolland,2012,5723
439,Næstved,2012,4712
440,Guldborgsund,2012,5117
441,Vordingborg,2012,4873
442,Bornholm,2012,5004
443,Middelfart,2012,4405
444,Assens,2012,4630
445,Faaborg-Midtfyn,2012,4655
446,Kerteminde,2012,4551
447,Nyborg,2012,4669
448,Odense,2012,4591
449,Svendborg,2012,4761
450,Nordfyns,2012,4643
451,Langeland,2012,5566
452,Ærø,2012,4691
453,Haderslev,2012,4758
454,Billund,2012,4881
455,Sønderborg,2012,4876
456,Tønder,2012,4903
457,Esbjerg,2012,4748
458,Fanø,2012,5539
459,Varde,2012,4488
460,Vejen,2012,4293
461,Aabenraa,2012,4916
462,Fredericia,2012,5004
463,Horsens,2012,4603
464,Kolding,2012,4718
465,Vejle,2012,4224
466,Herning,2012,4116
467,Holstebro,2012,4587
468,Lemvig,2012,4209
469,Struer,2012,4611
470,Syddjurs,2012,4848
471,Norddjurs,2012,4927
472,Favrskov,2012,4147
473,Odder,2012,3967
474,Randers,2012,4817
475,Silkeborg,2012,4531
476,Samsø,2012,5269
477,Skanderborg,2012,4014
478,Aarhus,2012,4054
479,Ikast-Brande,2012,4099
480,Ringkøbing-Skjern,2012,4210
481,Hedensted,2012,4285
482,Morsø,2012,4474
483,Skive,2012,4482
484,Thisted,2012,4445
485,Viborg,2012,4430
486,Brønderslev,2012,4177
487,Frederikshavn,2012,4563
488,Vesthimmerlands,2012,4787
489,Læsø,2012,4648
490,Rebild,2012,4079
491,Mariagerfjord,2012,4379
492,Jammerbugt,2012,4373
493,Aalborg,2012,4062
494,Hjørring,2012,4662
495,Hele landet,2013,4759
496,København,2013,4739
497,Frederiksberg,2013,4840
498,Ballerup,2013,5588
499,Brøndby,2013,5750
500,Dragør,2013,4791
501,Gentofte,2013,4896
502,Gladsaxe,2013,5472
503,Glostrup,2013,5721
504,Herlev,2013,5676
505,Albertslund,2013,5139
506,Hvidovre,2013,5217
507,Høje-Taastrup,2013,4978
508,Lyngby-Taarbæk,2013,5097
509,Rødovre,2013,5411
510,Ishøj,2013,5400
511,Tårnby,2013,5131
512,Vallensbæk,2013,5093
513,Furesø,2013,4599
514,Allerød,2013,4584
515,Fredensborg,2013,4717
516,Helsingør,2013,5327
517,Hillerød,2013,4896
518,Hørsholm,2013,4674
519,Rudersdal,2013,4987
520,Egedal,2013,4624
521,Frederikssund,2013,5142
522,Greve,2013,4431
523,Køge,2013,4570
524,Halsnæs,2013,5764
525,Roskilde,2013,4584
526,Solrød,2013,4370
527,Gribskov,2013,5191
528,Odsherred,2013,5317
529,Holbæk,2013,4653
530,Faxe,2013,4805
531,Kalundborg,2013,4722
532,Ringsted,2013,4830
533,Slagelse,2013,5001
534,Stevns,2013,4681
535,Sorø,2013,4725
536,Lejre,2013,4721
537,Lolland,2013,5864
538,Næstved,2013,4971
539,Guldborgsund,2013,5379
540,Vordingborg,2013,5150
541,Bornholm,2013,5333
542,Middelfart,2013,4586
543,Assens,2013,4665
544,Faaborg-Midtfyn,2013,5070
545,Kerteminde,2013,4726
546,Nyborg,2013,4729
547,Odense,2013,4561
548,Svendborg,2013,4830
549,Nordfyns,2013,4852
550,Langeland,2013,5587
551,Ærø,2013,5098
552,Haderslev,2013,4926
553,Billund,2013,4655
554,Sønderborg,2013,5176
555,Tønder,2013,4918
556,Esbjerg,2013,4873
557,Fanø,2013,5761
558,Varde,2013,4697
559,Vejen,2013,4569
560,Aabenraa,2013,5141
561,Fredericia,2013,5157
562,Horsens,2013,4811
563,Kolding,2013,4812
564,Vejle,2013,4275
565,Herning,2013,4308
566,Holstebro,2013,4846
567,Lemvig,2013,4742
568,Struer,2013,4920
569,Syddjurs,2013,5151
570,Norddjurs,2013,4991
571,Favrskov,2013,4179
572,Odder,2013,4241
573,Randers,2013,4890
574,Silkeborg,2013,4653
575,Samsø,2013,5099
576,Skanderborg,2013,4303
577,Aarhus,2013,4091
578,Ikast-Brande,2013,4382
579,Ringkøbing-Skjern,2013,4489
580,Hedensted,2013,4282
581,Morsø,2013,4733
582,Skive,2013,4692
583,Thisted,2013,4601
584,Viborg,2013,4631
585,Brønderslev,2013,4271
586,Frederikshavn,2013,4810
